"","X","IMPORTER","EXPORTER","ORIGIN","MONTH","title","L..COST..PhP.","QUANTITY.kg.","Phpkg","Countries"
"2799",2799,"PSI TECHNOLOGIES INC.","STARCKE GMBH & CO","DE",6,"ADHESIVE",639277,185,3455.551351,"Germany"
"2800",2800,"ELEMATEC PHILIPPINES INC","ELEMATEC CORPORATION","JP",6,"ADHESIVE",6442370,1759,3662.518476,"Japan"
"2801",2801,"STMICROELECTRONICS INC.","HENKEL ELECTRONIC MATERIAL LLC","US",6,"OTHERS",1577611,74,21319.06757,"United States"
"2802",2802,"STMICROELECTRONICS INC.","HENKEL TECHNOLOGIES (KOREA) LIMITED","KR",6,"OTHERS",535125,49,10920.91837,"South Korea"
"2803",2803,"AVIATION PARTNERSHIP (PHILS) CORP.","AEROSPHERES (UK) LTD","GB",6,"OTHERS",555507,17,32676.88235,"United Kingdom"
"2804",2804,"STMICROELECTRONICS INC.","HENKEL KOREA LTD","KR",6,"OTHERS",5130974,228,22504.27193,"South Korea"
"2805",2805,"MAXTRONIX LAGUNA INC","DYMAX ASIA PACIFIC PTE. LTD","SG",6,"GLUE",4350124,151,28808.76821,"Singapore"
"2806",2806,"TANDUAY DISTILLERS INC.","INFINITA BIOTECH PRIVATE LTD.","IN",6,"OTHERS",748256,200,3741.28,"India"
"2807",2807,"CIRTEK ELECTRONICS CORPORATION","CIRTEK SEMICONDUCTOR INC.","US",6,"EPOXY",3473334,101,34389.44554,"United States"
"2808",2808,"CIRTEK ELECTRONICS CORPORATION","CIRTEK SEMICONDUCTOR INC","US",6,"EPOXY",671409,33,20345.72727,"United States"
"2809",2809,"ELEMATEC PHILIPPINES INC","ASEC CO., LTD","TW",6,"ADHESIVE",2210489,120,18420.74167,"Taiwan"
"2810",2810,"DYSON ELECTRONICS PTE LTD PH BRANCH","MGY TECHNOLOGY CO LTD","TW",6,"ADHESIVE",1379099,92,14990.20652,"Taiwan"
"2811",2811,"TDK PHILIPPINES CORPORATION","THREE BOND SINGAPORE PTE LTD","JP",6,"ADHESIVE",749910,11,68173.63636,"Japan"
"2812",2812,"ASIAN TRANSMISSION CORPORATION","THREE BOND SINGAPORE PTE LTD","SG",6,"ADHESIVE",487077,210,2319.414286,"Singapore"
"2813",2813,"SMK ELECTRONICS PHILS CORP","THREE BOND(S)PTE LTD","JP",6,"ADHESIVE",457437,26,17593.73077,"Japan"
