"","X","IMPORTER","EXPORTER","ORIGIN","MONTH","title","L..COST..PhP.","QUANTITY.kg.","Phpkg","Countries"
"893",893,"CORNELL INGREDIENTS CORPORATION","ROQUETTE ITALIA SPA","IT",2,"MODIFIED STARCH",8055540,169000,47.66591716,"Italy"
"894",894,"GREAT EASTERN RESINS PHILS INDL CO.","CARTELL CHEMICAL CO.,LTD.","TW",2,"ADHESIVE",3717587,3651,1018.238017,"Taiwan"
"895",895,"REPUBLIC CHEMICAL INDUSTRIES INC.","KOATSU GAS KOGYO CO LTD","JP",2,"ADHESIVE",2828767,1800,1571.537222,"Japan"
"896",896,"COLUMBIA INTL FOOD PRODUCTS INC","GELITA AUSTRALIA PTY LTD.","AU",2,"GELATIN",5833481,20000,291.67405,"Australia"
"897",897,"EASY BIO PHILIPPINES INC.","EASY BIO. INC","KR",2,"OTHERS",935351,8000,116.918875,"South Korea"
"898",898,"BRIGHT GOAL TRADING","ADITYA BIRLA CHEMICAL (THAILAND) LT","TH",2,"EPOXY",715613,18800,38.06452128,"Thailand"
"899",899,"SAMSUNG ELECTRO-MECHANICS","SAMSUNG SDI CO., LTD","KR",2,"EPOXY",4459438,5700,782.3575439,"South Korea"
"900",900,"NELTEX DEVELOPMENT CO. INC","NAN YA PLASTICS CORPORATION","TW",2,"GLUE",4770651,43200,110.4317361,"Taiwan"
"901",901,"NEW TOUCHSTONE MDSG. ENT. (CEBU) PH","SHENZHEN LUYE EAST INDS CO LTD","CN",2,"SEAL",356374,4072,87.51817289,"China"
"902",902,"TIMES TRADING CO INC","NINGBO PASCO UNITED INDS CO LT","CN",2,"GLUE",8300017,68465,121.2300738,"China"
"903",903,"TIMES TRADING CO INC","NINGBO PASCO UNITED INDS CO","CN",2,"GLUE",2762988,20894,132.2383459,"China"
"904",904,"HIT INTERNATIONAL PHILS. INC.","QUALIPOY CHEMICAL CORPORATION","TW",2,"GLUE",712734,13556,52.57701387,"Taiwan"
"905",905,"SEDANGA ENTERPRISE","LUOHE PINGYUAN BUSINESS SERVIC","CN",2,"GLUE",924927,23513,39.33683494,"China"
"906",906,"CROWN SUPPLY CORP","NINGBO DELI IMP&EXP. CO.,LTD","CN",2,"GLUE",1083962,12803,84.66468796,"China"
"907",907,"H B FULLER PHILS INC","H B FULLER DEUTSCHLAND PRODUKTIONS","DE",2,"GLUE",2364915,13125,180.184,"Germany"
"908",908,"D'LUXE BAGS PHILIPPINES INC.","LUEN THAI FOOTWEAR MACAU COMM.","HK",2,"GLUE",1963180,3030,647.9141914,"Hong Kong SAR China"
"909",909,"PV TECH PTE. LTD. PHIL. BR. OFFICE","SHANGHAI HUITIAN NEW MATERIAL","CN",2,"SEAL",415783,2700,153.9937037,"China"
"910",910,"MDLD INTERCHEMICAL INDUSTRIES INC.","CLEO SINGAPORE PTE LTD.","SG",2,"OTHERS",819830,1020,803.754902,"Singapore"
"911",911,"MB TECHNOSOLUTIONS CORPORATION","FLOWCRETE ASIA SDN BHD","MY",2,"OTHERS",554982,3535,156.9963225,"Malaysia"
"912",912,"PROMESSO BUSINESS SOLUTIONS CORP","QINGDAO CROWN IMP & EXP CORP.LTD","CN",2,"PROTEIN",2981047,22725,131.1791859,"China"
"913",913,"CONCRETE SOLUTION BUILDERS AND","CONREN LIMITED","GB",2,"OTHERS",317774,7360,43.17581522,"United Kingdom"
"914",914,"K-MORE PHILIPPINES INC.","TEX YEAR INDUSTRIES INC","TW",2,"OTHERS",351244,4500,78.05422222,"Taiwan"
"915",915,"NAN PAO RESINS CHEMICAL PHILIPPINES","NAN PAO RESINS CHEMICAL CO LTD","TW",2,"ADHESIVE",2540591,17762,143.0351875,"Taiwan"
"916",916,"STONEPRO TRADING CORP","POLYTEK DEVELOPMENT CORP","US",2,"OTHERS",1526888,15294,99.83575258,"United States"
"917",917,"HENKEL PHILIPPINES INC.","HENKEL LOCTITE (CHINA) CO. LTD","CN",2,"OTHERS",333841,721,463.0249653,"China"
"918",918,"D'LUXE BAGS PHILIPPINES INC.","DONGGUAN DARONG RESIN CO.,LTD","CN",2,"OTHERS",1254814,6280,199.8111465,"China"
"919",919,"TERTEX INTERNATIONAL PHILS. INC.","DRIZORO SAU","ES",2,"SEAL",577725,11045,52.30647352,"Spain"
"920",920,"CORNELL INGREDIENTS CORPORATION","GENERAL STARCH LIMITED","TH",2,"MODIFIED STARCH",10668024,216500,49.27493764,"Thailand"
"921",921,"FORHOUSTON INTERNATIONAL CORP","ROHM AND HAAS PTE LTD","SG",2,"ADHESIVE",836907,24035,34.82034533,"Singapore"
"922",922,"CARRINGTON TRADING INC.","BASF SOUTH EAST ASIA PTE. LTD.","DE",2,"ENZYMES",8887696,23520,377.8782313,"Germany"
"923",923,"SCAD SERVICES (S) PTE. LTD. - PHIL","HRD SINGAPORE PTE LTD","JP",2,"TAPE",4467266,25572,174.6936493,"Japan"
"924",924,"VET. ONE INC.","CHINA JIANGSU CHANGZHOU CO LTD","CN",2,"OTHERS",2033662,34000,59.81358824,"China"
"925",925,"HERCO TRADING INC","ITW & PP F KOREA LTD.","MY",2,"EPOXY",1026061,8784,116.8102231,"Malaysia"
"926",926,"HERCO TRADING INC","ITW PP & F KOREA LIMITED","MY",2,"EPOXY",1035775,8784,117.9160974,"Malaysia"
"927",927,"RC NEW CHEMICAL RESOURCES INC.","KATER IMPORT & EXPORT CO., LTD","CN",2,"SEAL",555012,2074,267.6046287,"China"
"928",928,"ALLKEY INTERNATIONAL INC.","SAMJI PROTECTIVE TAPE (CHINA)","CN",2,"TAPE",979128,2526,387.6199525,"China"
"929",929,"TAMSONS ENTERPRISES INC","DGL INTERNATIONAL (MALAYSIA)","MY",2,"OTHERS",904169,5953,151.884596,"Malaysia"
"930",930,"GLOBE INTL DISTRIBUTOR CENTER INC","PYE PRODUCTS M SDN BHD","MY",2,"SEAL",1544680,14549,106.1708709,"Malaysia"
"931",931,"WELLPLASS INTERNATIONAL SALES","QUICSEAL CONSTRUCTION CHEMICAL","SG",2,"SEAL",860704,16531,52.06605771,"Singapore"
"932",932,"AP MAGNA CHEM DISTRIBUTION CORP.","JIANGSU ZHAOJIA MATERIALS TECHNOLOG","CN",2,"OTHERS",4595347,52000,88.37205769,"China"
"933",933,"GLOBE INTL DISTRIBUTOR CENTER INC","PT ERJE LONDON CHEMICAL","ID",2,"SEAL",1712949,16000,107.0593125,"Indonesia"
"934",934,"GLOBE INTL DISTRIBUTOR CENTER INC","PT ERJE LONDON CHEMICAL","ID",2,"OTHERS",1315154,16768,78.43237118,"Indonesia"
"935",935,"GLOBE INTL DISTRIBUTOR CENTER INC","ZEN INTERNATIONAL MARKETING","ID",2,"OTHERS",719115,19440,36.99151235,"Indonesia"
"936",936,"TIMES TRADING CO INC","JIANGSU XINGDA STATIONERY GROU","CN",2,"GLUE",1164696,6975,166.9815054,"China"
"937",937,"DUTCH BLUE SEA ENTERPRISES","YIWU JUZHAN IMP & EXP CO., LTD","CN",2,"SEAL",329876,5673,58.14842235,"China"
"938",938,"DUTCH BLUE SEA ENTERPRISES","DOW CORNING KOREA LTD","KR",2,"SEAL",4127675,56007,73.69926973,"South Korea"
"939",939,"STANZA ALUMINUM AND GLASS","DOW CORNING KOREA LTD","KR",2,"SEAL",6512564,92555,70.36425909,"South Korea"
"940",940,"DUTCH BLUE SEA ENTERPRISES","R.J. LONDON CHEMICALS INDUSTRI","TH",2,"SEAL",829127,14627,56.68469269,"Thailand"
"941",941,"RITE PRODUCTS INCORPORATED","HB FULLER CONSTRUCTION PRODUCTS INC","US",2,"SEAL",2207857,17584,125.5605664,"United States"
"942",942,"MONROE MULTINATIONAL GROUP INC.","PT. OCI MATERIAL PRATAMA","ID",2,"SEAL",1842431,6363,289.5538268,"Indonesia"
"943",943,"MEGATRENDS  I&C CORPORATION","NURICHEM CO LTD","KR",2,"SEAL",1063360,12794,83.11395967,"South Korea"
"944",944,"SPECIALTY CONTRACTS GENERAL AND","Hitchins F.E. Marketing PTE LTD","SG",2,"SEAL",554241,3760,147.4045213,"Singapore"
"945",945,"HOUSE TECHNOLOGY INDUSTRIES PTE.LTD","HRD SINGAPORE PTE LTD","JP",2,"ADHESIVE",2026884,7235,280.1498272,"Japan"
"946",946,"TAMSONS ENTERPRISES INC","DGL INTERNATIONAL (MALAYSIA)","MY",2,"GLUE",2406246,7768,309.7639032,"Malaysia"
"947",947,"SIKA PHILIPPINES INC.","EVERBUILD BUILDING PRODUCTS LT","GB",2,"OTHERS",1619821,16320,99.25373775,"United Kingdom"
"948",948,"SIKA PHILIPPINES INC.","SIKA GUANGZHOU LTD.,","CN",2,"OTHERS",2291538,14000,163.6812857,"China"
"949",949,"SIKA PHILIPPINES INC.","SIKA LTD.,","JP",2,"OTHERS",1192446,3140,379.7598726,"Japan"
"950",950,"SIKA PHILIPPINES INC.","PT.SIKA INDONESIA","ID",2,"OTHERS",2475023,27082,91.38996381,"Indonesia"
"951",951,"CEPRE INTERNATIONAL TRADING","GUANGDONG OLIVIA CHEMICAL INDU","CN",2,"SEAL",1029331,15805,65.12692186,"China"
"952",952,"WOOCUBE TRADING","HANGZHOU XIAORAN IMPORT AND","CN",2,"SEAL",1986467,29590,67.13305171,"China"
"953",953,"MODERN HOME CLASSIC MARKETING/","FOSHAN CITY CHUANG SHI JI INDUSTRIA","CN",2,"SEAL",1074004,15091,71.16851103,"China"
"954",954,"TFE SALES MARKETING CORPORATION","MOMENTIVE PERFORMANCE","CN",2,"SEAL",7803654,32376,241.0320608,"China"
"955",955,"KOMEYA FOOD PRODUCT CORPORATION","TONGAAT HULETT STARCH","ZA",2,"STARCH",3810522,260000,14.65585385,"South Africa"
"956",956,"KATANA TRADEGRADE INCORPORATED","ZHENZHEN XINGYUAN IMP EXP CO","CN",2,"SEAL",745315,3420,217.9283626,"China"
"957",957,"MULTI RICH HOME DECORS INCORPORATED","SHANGHAI BADA TEXTILES CO","CN",2,"ADHESIVE",659249,14076,46.83496732,"China"
"958",958,"MOLDEX PRODUCTS INC","NAN YA PLASTICS CORPORATION","TW",2,"ADHESIVE",1403808,10800,129.9822222,"Taiwan"
"959",959,"PHIL. GLASS PROCESSING SPECIALIST","WACKER CHEMICALS CO LTD","CN",2,"SEAL",2125554,9972,213.1522262,"China"
"960",960,"DUTCH BLUE SEA ENTERPRISES","R.J. LONDON CHEMICALS INDUSTRI","TH",2,"OTHERS",1841813,27176,67.77351339,"Thailand"
"961",961,"PHSI TRADING SALES INC.","RJ LONDON CHEMICALS IND. CO. LTD","TH",2,"OTHERS",621880,18480,33.65151515,"Thailand"
"962",962,"LUCKSTOCK TRADERS CORP.","INTERGLOBAL INTERNATIONAL","US",2,"SEAL",491488,5387,91.23593837,"United States"
"963",963,"E-HSING CORPORATION","GLORY TO FORTUNE CO., LTD.","TW",2,"OTHERS",424030,13044,32.50766636,"Taiwan"
"964",964,"REPUBLIC CHEMICAL INDUSTRIES INC.","PINGHU ADHESIVE SERVICE TRADIN","CN",2,"GLUE",405419,451,898.9334812,"China"
"965",965,"ARVIN INTERNATIONAL MARKETING INC.","SHANGHAI NEWSUN INTERNATIONAL","CN",2,"MODIFIED STARCH",19349354,1200000,16.12446167,"China"
"966",966,"SARANGANI ENERGY CORPORATION","KURITA SINGAPORE PTE LTD","TW",2,"OTHERS",312469,260,1201.803846,"Taiwan"
"967",967,"FAIRCHILD SEMICONDUCTOR (PHILS) INC","ABLESTIK (SHANGHAI)LTD","CN",2,"OTHERS",2963760,219,13533.15068,"China"
"968",968,"FAIRCHILD SEMICONDUCTOR (PHILS) INC","HENKEL ELECTRONIC MATERIAL LLC","US",2,"OTHERS",2213766,163,13581.3865,"United States"
"969",969,"TMX PHILIPPINES INC.","MATERIAL TECHNOLOGY PTE LTD","SG",2,"OTHERS",479299,30,15976.63333,"Singapore"
"970",970,"S.E.A OLYMPUS MARKETING INC.","ALTECO  CHEMICAL PTE LTD.","JP",2,"ADHESIVE",702656,110,6387.781818,"Japan"
"971",971,"FUNAI ELECTRIC CEBU INC.","ENGINEERED MATERIALS SYSTEM INC/EMS","US",2,"ADHESIVE",2227482,163,13665.53374,"United States"
"972",972,"FUNAI ELECTRIC CEBU INC.","THE STROUSE CORPORATION","US",2,"ADHESIVE",543033,31,17517.19355,"United States"
"973",973,"AB HEINEKEN PHILIPPINES INC.","CROSSFLIGHT LTD","GB",2,"OTHERS",283785,2,141892.5,"United Kingdom"
"974",974,"AUTOLIV CEBU SAFETY MANUFACTURING","SIKA AUTOMOTIVE GMBH","DE",2,"OTHERS",757267,2542,297.9020456,"Germany"
"975",975,"NESTLE PHILIPPINES INC.","ARMOR PROTEINES SAS","FR",2,"OTHERS",8804702,20000,440.2351,"France"
"976",976,"FOURWARD TRADING","YIWU XUZHAN IMPORT AND EXPORT CO.,L","CN",2,"GLUE",346611,14269,24.29119069,"China"
"977",977,"MEGASOFT HYGIENIC PRODUCTS INC","SHENZHEN GUI HAO CHENG TRADE","CN",2,"ADHESIVE",1307088,20412,64.03527337,"China"
"978",978,"AXELUM RESOURCES CORP.","DMV","NL",2,"OTHERS",6276949,12000,523.0790833,"Netherlands"
"979",979,"SAN MIGUEL FOODS INC","GLOBAL NUTRITION ASIA-PACIFIC","FR",3,"OTHERS",13469286,4320,3117.890278,"France"
"980",980,"S.D. TRADING CORPORATION","SUNSTAR CHEMICAL (THAILAND) CO","TH",3,"SEAL",950052,23760,39.98535354,"Thailand"
"981",981,"HENKEL PHILIPPINES INC.","PT.HENKEL ADHESIVE TECHNOLOGIE","ID",3,"OTHERS",4739526,34740,136.4284974,"Indonesia"
"982",982,"CHEMICAL RESEARCH PRODUCTS","PRO TECH USA LC","US",3,"OTHERS",3447612,6741,511.4392523,"United States"
"983",983,"MONDE NISSIN CORPORATION","GENERAL STARCH LIMITED","TH",3,"MODIFIED STARCH",2165441,57000,37.99019298,"Thailand"
"984",984,"MAXION BIOSCIENCE INC.","DANISCO SINGAPORE PTE LTD","SG",3,"OTHERS",3901627,7675,508.3553094,"Singapore"
"985",985,"HAMBURG TRADING CORPORATION","CARGILL DEUTSCHLAND GMBH","DE",3,"OTHERS",3339917,67225,49.6826627,"Germany"
"986",986,"HAMBURG TRADING CORPORATION","CARGILL BIO CHEMICAL CO LTD","CN",3,"STARCH",1875979,39500,47.49313924,"China"
"987",987,"HAMBURG TRADING CORPORATION","K.D FEDDERSEN","ES",3,"GLUE",811454,5460,148.6179487,"Spain"
"988",988,"SAGAWA GLOBAL LOGISTICS PHILIPPINES","MACDERMID PERFORMANCE SOLUTION","SG",3,"OTHERS",374310,5623,66.5676685,"Singapore"
"989",989,"HENKEL PHILIPPINES INC.","PT HENKEL ADHESIVE TECHNOLOGIE","ID",3,"ADHESIVE",2535824,19325,131.2198706,"Indonesia"
"990",990,"DEL MONTE PHILS INC. / PHILPACK","CARGILL DEUTSCHLAND GMBH","BE",3,"OTHERS",904021,18000,50.22338889,"Belgium"
"991",991,"REPUBLIC CHEMICAL INDUSTRIES INC.","AKKIM YAPI KIMYASALLARI SAN VE TIC","TR",3,"SEAL",1489638,7431,200.4626564,"Turkey"
"992",992,"SHINDENGEN PHILIPPINES CORPORATION","PANASONIC MANUFACTURING AYUTHAYA CO","TH",3,"EPOXY",17714173,84781,208.940364,"Thailand"
"993",993,"CHAROEN POKPHAND FOODS PHILS. CORP.","DANISCO SINGAPORE PTE. LTD.","SG",3,"OTHERS",5454783,14000,389.6273571,"Singapore"
"994",994,"MEGASOFT HYGIENIC PRODUCTS INC","SHENZHEN GUI HAO CHENG TRADE","CN",3,"ADHESIVE",6865511,102931,66.70012921,"China"
"995",995,"INGREDION PHILIPPINES INC.","INGREDION INC","US",3,"OTHERS",2019982,36820,54.86099946,"United States"
"996",996,"JEBSEN & JESSEN INGREDIENTS (P)","VEDAN VIETNAM ENTERPRISE CORP. LTD","VN",3,"MODIFIED STARCH",3701208,108000,34.27044444,"Vietnam"
"997",997,"SAVE EARTH TECHNOLOGIES AND SERVICE","BIO-SYSTEMS INTERNATIONAL","US",3,"ENZYMES",1305665,1160,1125.573276,"United States"
"998",998,"DKSH PHILIPPINES INC.","SMS CORPORATION CO., LTD.","TH",3,"MODIFIED STARCH",1366498,39000,35.03841026,"Thailand"
"999",999,"MAGNOLIA INC.","VRS FOODS LIMITED","IN",3,"OTHERS",15789990,50000,315.7998,"India"
"1000",1000,"JEBSEN & JESSEN INGREDIENTS (P)","VEDAN VIETNAM ENTERPRISE CORP LTD","VN",3,"MODIFIED STARCH",1765089,54000,32.68683333,"Vietnam"
"1001",1001,"INLAND WAREHOUSING & LOGISTICS DIV.","THREEBOND CO., LTD","JP",3,"OTHERS",1041577,971,1072.684861,"Japan"
"1002",1002,"INGREDION PHILIPPINES INC.","PT. INGREDION INDONESIA","US",3,"MODIFIED STARCH",896944,4994,179.6043252,"United States"
"1003",1003,"TURRIS PHIL. INC.","TATE & LYLE INGREDIENTS AMERICAS","US",3,"MODIFIED STARCH",2139939,38556,55.50210084,"United States"
"1004",1004,"INLAND WAREHOUSING & LOGISTICS DIV.","THREE BOND MANUFACTURING (THAILAND)","TH",3,"OTHERS",14648302,4413,3319.352368,"Thailand"
"1005",1005,"STARKEN PHILIPPINES INC.","STARKEN AAC SDN. BHD.","MY",3,"ADHESIVE",1369892,133035,10.29723005,"Malaysia"
"1006",1006,"HAMBURG TRADING CORPORATION","CARGILL DEUTHCHLAND GMBH","DE",3,"OTHERS",3304322,71225,46.39272727,"Germany"
"1007",1007,"EDWARD KELLER (PHILS.) INC.","SMS CORPORATION CO., LTD.","TH",3,"OTHERS",274077,4000,68.51925,"Thailand"
"1008",1008,"CENTURY PACIFIC FOOD INC.","GENERAL STARCH LIMITED","TH",3,"MODIFIED STARCH",867483,20000,43.37415,"Thailand"
"1009",1009,"MEAD JOHNSON NUTRITION (PHILS) INC","KERRY INGREDIENTS (IRELAND) LTD","IE",3,"PROTEIN",9758154,16800,580.8425,"Ireland"
"1010",1010,"DOLE PHILIPPINES INC","NOVOZYMES MALAYSIA SDN BHD","MY",3,"OTHERS",541725,960,564.296875,"Malaysia"
"1011",1011,"SUPERSTAR COCONUT PRODUCTS CO. INC","SAN SOON SENG FOOD INDUSTRIES","MY",3,"OTHERS",753781,16000,47.1113125,"Malaysia"
"1012",1012,"HENKEL PHILIPPINES INC.","HENKEL CHEMICAL TECHNOLOGIES","CN",3,"ADHESIVE",605532,3386,178.8340224,"China"
"1013",1013,"JT INTERNATIONAL ASIA MFG. CORP.","H.B. FULLER ADHESIVES MALAYSIA SDN","MY",3,"ADHESIVE",571724,3675,155.5711565,"Malaysia"
"1014",1014,"MAHLE FILTER SYSTEMS PHILS. CORP.","MAHLE FILTER SYSTEMS JAPAN CORP GLO","JP",3,"ADHESIVE",1254895,10000,125.4895,"Japan"
"1015",1015,"SAN TECHNOLOGY INCORPORATED","CORAL SERVICE CORP.","JP",3,"ADHESIVE",1046257,900,1162.507778,"Japan"
"1016",1016,"TRANS WORLD TRADING COMPANY","TOYOCHEM SPECIALTY CHEMICAL SDN.BHD","MY",3,"ADHESIVE",3106236,16000,194.13975,"Malaysia"
"1017",1017,"PRINCEACE CORP.","NILOS GMBH & CO","DE",3,"ADHESIVE",452666,400,1131.665,"Germany"
"1018",1018,"PAREXGROUP INC.","EMFI SAS","BE",3,"ADHESIVE",2007159,10534,190.5410101,"Belgium"
"1019",1019,"H.B FULLER (PHILIPPINES) INC.","H.B FULLER (CHINA) ADHESIVES LTD","CN",3,"OTHERS",1192371,6660,179.0346847,"China"
"1020",1020,"LAMON BAY FURNITURE CORP","AICA KOGYO CO., LTD.","JP",3,"ADHESIVE",357262,2500,142.9048,"Japan"
"1021",1021,"1986 CONSTRUCTION SUPPLY","SHENZHEN GUI HAO CHENG TRADE C","CN",3,"OTHERS",347707,1570,221.4694268,"China"
"1022",1022,"ALLTECH BIOTECHNOLOGY CORP","CUSTOM FREIGHT SALES, INC.","US",3,"OTHERS",1513982,4000,378.4955,"United States"
"1023",1023,"ALLTECH BIOTECHNOLOGY CORP","ALLTECH BIOTECHNOLOGY CORP LTD","TH",3,"OTHERS",656359,1500,437.5726667,"Thailand"
"1024",1024,"PHILIPPINE FOREMOST MILLING","MUEHLENCHEMIE GMBH AND CO KG","DE",3,"OTHERS",1068401,2275,469.6268132,"Germany"
"1025",1025,"PURATOS PHILIPPINES INC.","PURATOS NV","BE",3,"OTHERS",1020606,835,1222.282635,"Belgium"
"1026",1026,"VET SPECIALISTS INC","ALIVIRA ANIMAL HEALTH LIMITED","IN",3,"OTHERS",941244,5750,163.6946087,"India"
"1027",1027,"KRAYDEN ASIA INC.","HUNTSMAN ADVANCED MATERIALS","BE",3,"OTHERS",1155280,3037,380.4017122,"Belgium"
"1028",1028,"TRANS-MILLENNIUM MERCANTILE CORPORA","CEREAL TECH PTE LTD.","SG",3,"OTHERS",638685,5472,116.71875,"Singapore"
"1029",1029,"PHILIPPINE INDUSTRIAL SEALANTS &","THE DOW CHEMICAL COMPANY","US",3,"SEAL",4410387,13793,319.7554557,"United States"
"1030",1030,"STT PHILIPPINES INC","ELKEM SILICONES SHANGHAI CO.,","CN",3,"OTHERS",11984491,24000,499.3537917,"China"
"1031",1031,"HENKEL PHILIPPINES INC.","HENKEL CHEMICAL TECHNOLOGIES","CN",3,"OTHERS",1778591,9960,178.5733936,"China"
"1032",1032,"SANKYOTATEYAMA PHILIPPINES INC","SANKYO TATEYAMA, INC.","JP",3,"ADHESIVE",284420,319,891.5987461,"Japan"
"1033",1033,"CARGILL TEXTURIZING SOLUTIONS","CARGILL DEUTSCHLAND GMBH","BE",3,"STARCH",2135934,14825,144.0764924,"Belgium"
"1034",1034,"HAMBURG TRADING CORPORATION","CARGILL INCORPORATED","US",3,"MODIFIED STARCH",1556572,32500,47.89452308,"United States"
"1035",1035,"CARGILL TEXTURIZING SOLUTIONS","CARGILL BIO-CHEMICAL CO., LTD","CN",3,"OTHERS",700809,19875,35.26083019,"China"
"1036",1036,"FORGEMS MARKETING CO. INC.","GRAIN PROCESSING CORPORATION","US",3,"MODIFIED STARCH",1314867,47628,27.60701688,"United States"
"1037",1037,"CARGILL TEXTURIZING SOLUTIONS","CARGILL INCORPORATED","US",3,"STARCH",969431,19278,50.28690736,"United States"
"1038",1038,"WU KONG SINGAPORE PTE. LTD. PHIL.","NEDEX CHEMIE DEUTSCHLAND GMBH","NL",3,"OTHERS",10095181,49229,205.0657336,"Netherlands"
"1039",1039,"HITACHI CABLE PHILIPPINES INC.","HITACHI TRANSPORT SYSTEM EAST","JP",3,"OTHERS",736943,291,2532.450172,"Japan"
"1040",1040,"H.B FULLER (PHILIPPINES) INC.","H.B FULLER ADHESIVE MALASYIA SDN BH","MY",3,"OTHERS",1481676,10800,137.1922222,"Malaysia"
"1041",1041,"BRENNTAG INGREDIENTS INC.","ROQUETTE ITALIA SPA","IT",3,"OTHERS",3552457,57000,62.32380702,"Italy"
"1042",1042,"NUTRI-ASIA INC.","ROQUETTE ITALIA SPA","IT",3,"MODIFIED STARCH",1785498,38000,46.98678947,"Italy"
"1043",1043,"KINPO ELECTRONICS (PHILIPPINES) INC","ATOM CELS SINGAPORE PTE LTD","SG",3,"OTHERS",1601927,450,3559.837778,"Singapore"
"1044",1044,"BOUNTY FRESH FOODS INC","DSM NUTRITIONAL PRODUCTS ASIA","DE",3,"OTHERS",7532652,5000,1506.5304,"Germany"
"1045",1045,"INGREDION PHILIPPINES INC.","NATIONAL STARCH AND CHEMICAL","TH",3,"OTHERS",27048901,511603,52.87088035,"Thailand"
"1046",1046,"REPUBLIC CHEMICAL INDUSTRIES INC.","MOMENTIVE  PERFORMANCE MATERIA","TH",3,"SEAL",3588203,14695,244.1784961,"Thailand"
"1047",1047,"GCP APPLIED TECHNOLOGIES","HENKEL (THAILAND) LTD.","TH",3,"OTHERS",515187,6940,74.23443804,"Thailand"
"1048",1048,"INGREDION PHILIPPINES INC.","INGREDION INC","US",3,"MODIFIED STARCH",2177348,36742,59.26046486,"United States"
"1049",1049,"ELEMATEC PHILIPPINES INC","ELEMATEC CORPORATION","JP",3,"OTHERS",1393056,910,1530.830769,"Japan"
"1050",1050,"MEGAPAINT CORPORATION","AKZO NOBEL PAINTS VIET NAM LTD.,","VN",3,"OTHERS",303624,20000,15.1812,"Vietnam"
"1051",1051,"UNIVERSAL ROBINA CORPORATION","PB LEINER ARGENTINA SA","AR",3,"GELATIN",6101129,20800,293.3235096,"Argentina"
"1052",1052,"ASCO MARKETING CORPORATION","PARMOVO S.R.L.","IT",3,"OTHERS",4338292,10000,433.8292,"Italy"
"1053",1053,"SWITZ MARKETING CORPORATION","OVOBEL FOODS LIMITED","IN",3,"OTHERS",1951003,5000,390.2006,"India"
"1054",1054,"AMPERE RESOURCES CORPORATION","BDP ASIA PACIFIC PTE LTD","SG",3,"OTHERS",1758113,4164,422.2173391,"Singapore"
"1055",1055,"PHILIPPINE FLOUR MILLS (A DIVISION","MUEHLENCHEMIE GMBH & CO. KG","DE",3,"OTHERS",4219657,5000,843.9314,"Germany"
"1056",1056,"ALTERNATIVES FOOD CORP","QINGDAO LANKANG INTERNATIONAL CO.,","TR",3,"PROTEIN",8374332,150000,55.82888,"Turkey"
"1057",1057,"AMPERE RESOURCES CORPORATION","BDP ASIA PACIFIC PTE LTD","SG",3,"SEAL",1825874,3314,550.957755,"Singapore"
"1058",1058,"SAN MIGUEL BREWERY INC","NOVOZYMES MALAYSIA SDN BHD","US",3,"ENZYMES",6189127,13200,468.8732576,"United States"
"1059",1059,"JTK ELECTRONIC COMPONENTS","WELLS ELECTRONIC MATERIAL","CN",3,"ADHESIVE",586271,1990,294.6085427,"China"
"1060",1060,"SIIX LOGISTICS PHILS. INC.","SIIX CORP. TOKYO HEADQUARTER","JP",3,"EPOXY",2443405,7260,336.5571625,"Japan"
"1061",1061,"YAZAKI-TORRES MANUFACTURING INC.","YAZAKI  CORPORATION","JP",3,"ADHESIVE",2527176,2053,1230.967365,"Japan"
"1062",1062,"YAZAKI-TORRES MANUFACTURING INC.","YAZAKI  CORPORATION","JP",3,"SEAL",1651601,1816,909.4719163,"Japan"
"1063",1063,"INTERNATIONAL FLAVORS AND FRAGRANCE","DSM FOOD SPECIALTIES","DE",3,"OTHERS",522525,1280,408.2226563,"Germany"
"1064",1064,"HILTI PHILIPPINES INC.","HILTI AG","DE",3,"OTHERS",345725,917,377.0174482,"Germany"
"1065",1065,"JANGHO GROUP CO LTD PHILIPPINE BRAN","GUANGZHOU JANGHO CURTAIN WALL","CN",3,"GLUE",458487,1230,372.7536585,"China"
"1066",1066,"FISCHER PH ASIA INC","FISCHERWERKE GMBH & CO KG","DE",3,"OTHERS",1523023,9776,155.7920417,"Germany"
"1067",1067,"MCCORMICK PHILIPPINES INC","RUBECLAR INTERNATIONAL INC.","US",3,"OTHERS",491084,273,1798.842491,"United States"
"1068",1068,"OHGITANI PHILIPPINES INC.","OHGITANI CORPORATION","JP",3,"OTHERS",400716,1907,210.1289984,"Japan"
"1069",1069,"3M PHILS. INC.","3M SHANGHAI SPECIALTY MATERIAL","CN",3,"OTHERS",444501,1600,277.813125,"China"
"1070",1070,"SUCERE FOODS CORPORATION","ROUSSELOT (M) SDN BHD","BR",3,"GELATIN",7127295,20000,356.36475,"Brazil"
"1071",1071,"MARKENBURG INTERNATIONAL FOODS CORP","ROUSSELOT SDN BHD","SG",3,"GELATIN",6037652,20000,301.8826,"Singapore"
"1072",1072,"GANDANG KALIKASAN INC.","GANDANG KALIKSAN, INC. USA","US",3,"OTHERS",468046,200,2340.23,"United States"
"1073",1073,"HOMEBASE TRADING & GEN MERCHANDISE","XIAMEN XINYUANCHANG IMPORT & EXPORT","CN",3,"GLUE",545820,6000,90.97,"China"
