DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY(kg),DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
11-Jan,SCHENKER LOGISTICS INC,IBS ELECTRONICS INC,VICTORIA SCHULTE V. 729S,LAX092658,US,3492,BS 19BL08X07RP BUMPER SPECILATIES BUMPER BS,"41,811.46",2202685
29-Jan,SCOTTIE INC.,MOHM CHEMICAL SDN BHD,LOBIVIA 059E,PGU0094177,MY,2340,TARASILICONE ACETIC SEALANT-CLEAR,"10,564.08",535751
10-Jan,SCUDERIA ENTERPRISES,DOW CORNING KOREA LTD,HYUNDAI GLORY,PUS12MNL17TIF051,KR,16614,17 PKGS. SILICONE SEALANT,"11,105.70",593658
10-Jan,SCUDERIA ENTERPRISES,DOW CORNING KOREA LTD,PHILIPPA SCHULTE,PUS01MNL18TIF052,KR,16371,17 PKGS. SILICONE SEALANT,"11,088.34",592737
10-Jan,SCUDERIA ENTERPRISES,DOW CORNING KOREA LTD.,HEUNG-A HAIPHONG,PUS01MNL18TIF053,KR,16635,17 PKGS. SILICONE SEALANT,"11,086.40",592645
16-Jan,SCUDERIA ENTERPRISES,DOW CORNING KOREA LTD,HYUNDAI FORWARD,PUS01MNL18TIF054,KR,16578,17 PKGS. SILICONE SEALANT,"9,938.20",534955
20-Jan,SCUDERIA ENTERPRISES,MOHM CHEMICAL SDN BHD,SILVIA,PGU01MNL18TIF004,MY,9684,1871 CTNS. SILICONE SEALANT,"9,888.00",534517
19-Jan,SEALBOND CHEMICAL INDUSTRIES INC.,"FLOOR CHEM ASIA CO., LTD.",SITC BANGKOK V.172N,KKLUTH0857168,TH,25071,1X40 INDUSTRIAL POLYURETHANE FLOOR COATING B,"32,726.00",1671700
4-Jan,SEDANGA ENTERPRISE,"YIWU JUZHAN IMP & EXP CO., LTD",HAI LIAN,SITGNBMS921462,CN,16200,GLUE,"18,591.27",941481
5-Jan,SHARP-EYE INTERNATIONAL TRADING,DOW CORNING KOREA LTD,HYUNDAI GLORY,SNKO010171205303,KR,9193,DOW CORNING GLASS SEALANT BRONZE CLEAR,"8,842.50",474476
26-Jan,SHELL PHILIPPINES EXPLORATION B.V.,NATIONAL HARDWARE,CI5879,7IMQ163,SG,222,GLUES AND ADHESIVE DE LUXE KIT,"5,292.45",264021
