DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY(kg),DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
30-Jan,MULTI RICH HOME DECORS INCORPORATED,SHANGHAI BADA TEXTILES CO LTD,ISAO,SNL7SHPL2600632,CN,"14,076",TILE ADHESIVE CLASS 3 UN NO. 1133,"12,164.80","664,373.00"
30-Jan,MULTIFLEX RNC PHILS. INC.,ALFA KLEBSTOFFE AG,MSC SONJA,ZS103944ZS,CH,"8,511",DISPERSAL GLUE BASED ON RUBBER SIMALFA 309 W,"37,939.04","2,048,196.00"
19-Jan,MULTIHOME VENTURE INC.,YIWU JUZHAN IMPORT AND EXPORT,ISAO V.1726S,SNL7NBPLB415134,CN,"6,650",GLUE,"8,237.53","419,948.00"
23-Jan,N.T. PHILIPPINES INC.,TAIFLEX SCIENTIFIC CO. LTD.,CI703,14763,TW,120,FLEXBOND COVERLAY,"7,104.12","382,615.00"
30-Jan,N.T. PHILIPPINES INC.,"SRP ZHUHAI CO., LTD.",FX5158,585292,CN,144,PSA ARRAY VISTEON COIL SHIELD,"16,786.22","915,338.00"
9-Jan,N.T. PHILIPPINES INC.,"MULTEK FLEXIBLE CIRCUITS, INC.",NH869,MSP35000408,US,500,RELEASE FILM,"12,856.14","677,221.00"
8-Jan,NAKAYAMA TECHNOLOGY CORPORATION,"NAKAYAMA CO., LTD.",SSL GANGA V-0828-005S,EGLV020700467402,JP,"3,147","ADHESIVES (ARON ALFA, BOND)","10,113.16","541,678.00"
29-Jan,NAKAYAMA TECHNOLOGY CORPORATION,"NAKAYAMA CO., LTD.",WAN HAI V-163,TPQL832,JP,"12,250",PM591 (@250KGS/DRUM) CEMEDINE GLUE,"44,440.65","2,360,612.00"
31-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,TS OSAKA 18000S,LSMNS1801013,CN,"3,000",ADHESIVE 256,"5,015.59","257,787.00"
31-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,TS OSAKA 18000S,LSMNS1801013,CN,"4,000",ADHESIVE A700W,"14,787.15","758,014.00"
31-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,TS OSAKA 18000S,LSMNS1801013,CN,"3,000",ADHESIVE NO 29CN,"5,015.58","257,787.00"
31-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,TS OSAKA 18000S,LSMNS1801013,CN,"3,750",ADHESIVE NP 71KN,"6,503.12","333,948.00"
23-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,MAGNAVIA V 18002S,LSMNS1801011,CN,"9,600",ADHESIVE P049,"19,036.95","966,131.00"
31-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,TS OSAKA 18000S,LSMNS1801013,CN,"1,500",ADHESIVE P344,"6,074.78","311,976.00"
31-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,TS OSAKA 18000S,LSMNS1801013,CN,"1,900",ADHESIVE UE 8SF,"9,865.02","506,020.00"
23-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,MAGNAVIA V 18002S,LSMNS1801011,CN,"19,500",ADHESIVES BWA316CH,"50,613.62","2,565,982.00"
23-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,MAGNAVIA V 18002S,LSMNS1801011,CN,"9,000",ADHESIVES NP 71KN,"15,604.57","792,247.00"
19-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,NAN PAO RESINS VN ENTERPRISE LTD,MOL HORIZON 1096E,S00698220,VN,"22,000",FLUTE LAMINATION WATERBASED GLUE VNP PR 3002,"16,420.79","842,230.00"
18-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,FOSHAN NAN PAO ADVANCED MATERIALS C,SUI HAI YUN 386,CNH0161209,CN,"7,000",HOT MELT ADHESIVE HM 560L,"15,286.45","775,916.00"
18-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,FOSHAN NAN PAO ADVANCED MATERIALS C,SUI HAI YUN 386,CNH0161209,CN,"12,000",HOT MELT ADHESIVE HM8101,"28,221.15","1,428,632.00"
31-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,NAN PAO RESINS CHEMICAL CO LTD,WAN HAI 162 S291,0018A07730,TW,"1,000",HOTMELT ADHESIVE HM 170,"5,330.00","287,538.00"
31-Jan,NAN PAO RESINS CHEMICAL PHILIPPINES,NAN PAO RESINS CHEMICAL CO LTD,WAN HAI 162 S291,0018A07730,TW,750,LIQUID ADHESIVE 1071 S,"5,310.00","286,465.00"
