DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
5-Dec,HAMBURG TRADING CORPORATION,CARGILL DEUTSCHLAND GMBH,MSC DITTE V.842E,578326847,DE,54000.00,3X20 CONTAINER STC: 2160 BAGS C TEX 06214 AC,"46,111.50",2516267.00
5-Dec,THE PUREFOODS HORMEL COMPANY INC,SMS CORPORATION CO LTD,GUAYAQUIL BRIDGE,ONEYBKKUD6009500,TH,72000.00,3X40 MODIFIED TAPIOCA STARCH KREATION 20 CL,"53,691.37",2861992.00
19-Dec,THE PUREFOODS HORMEL COMPANY INC,SMS CORPORATION CO LTD,GUAYAQUIL BRIDGE,ONEYBKKUD6017400,TH,96000.00,4X40 MODIFIED TAPIOCA STARCH KREATION 20CL,"71,588.89",3836913.00
12-Dec,GLONICOR FOOD CORPORATION,TATE & LYLE INGREDIENTS AMERIC,ONE STORK 002W,ONEYRICUQ5274600,US,19278.00,50# REZISTA 682 STARCH,"19,090.47",1052650.00
19-Dec,MC RITZ INTERNATIONAL CORPORATION,E H M INTERTRADING CO. LTD,MOUNT NOCHOLSON 020N,GTD0426164,TH,100000.00,"5X20 4,000 BAGS MODIFIED TAPIOCA STARCH","44,211.76",2373120.00
14-Dec,PROMESSO BUSINESS SOLUTIONS,TAIXING ZHONGXING IMP AND EXP CO L,NAVIOS VERANO V 007S,SHMNN1811000907,CN,3000.00,6 PALLETS STC 300 CARTONS TRANSGLUTAMINASE,"29,978.00",1641036.00
3-Dec,PROCTER & GAMBLE PHILIPPINES INC.,NOVOZYMES CHINA BIOTECHNOLOGY CO LT,ALS FLORA 003S,TSN32101364,CN,6000.00,6 PALLETS STC MEDLEY BL 91667020 S 321 T,"40,855.64",2156009.00
3-Dec,PROCTER & GAMBLE PHILIPPINES INC.,NOVOZYMES CHINA BIOTECHNOLOGY CO LT,TENG YUN HE 237S,TSN32101376,CN,6000.00,6 PALLETS STC MEDLEY BL 91667020 S 321 T,"40,855.64",2156009.00
11-Dec,UNITED PULP AND PAPER CO INC,NATIONAL STARCH AND CHEMICAL (THAIL,GUAYAQUIL BRIDGE,ONEYBKKUD4506500,TH,108000.00,6X20 MODIFIED STARCH,"88,605.00",4697437.00
28-Dec,PROCTER & GAMBLE PHILIPPINES INC.,NOVOZYMES A S,MSC ERICA,CPH32103044,DK,8000.00,8 PLTS STC ECLIPSE,"118,214.82",6490105.00
28-Dec,INGREDION PHILIPPINES INC.,INGREDION INC. 5 WESTBROOK,ONE STORK 002W,6.32E+13,US,18371.00,810 BAGS OF THERMTEX MODIFIED STARCH,"21,160.40",1177296.00
14-Dec,UNITED PULP AND PAPER CO INC,NATIONAL STARCH AND CHEMICAL (THAIL,SITC LIAONING V.1839N,ONEYBKKUF6653500,TH,144000.00,8X20 MODIFIED STARCH,"128,079.78",6822782.00
5-Dec,DOLE PHILIPPINES INC,NOVOZYMES MALAYSIA SDN BHD,CMA CGM VERDI/0IL0SE1PL,01PKG0165972,MY,960.00,PECTINEX ULTRA TROPICAL,"9,812.00",554049.00
10-Dec,ERCM PRODUCTS INTERNATIONAL INC.,"CHUEN HUAH CHEMICAL CO.,LTD",MARIA SCHULTE V-308S,KAOMNNT15418Y02,TW,12960.00,A456 FLEXIBLE CEMENTITOUS (BLACK),"17,496.00",977528.00
4-Dec,BRENNTAG INGREDIENTS INC.,BRENNTAG TAIWAN CO LTD,SINGAPORE V 051S,KEEMNS18110117,IT,2000.00,ACETYLATED DISTARCH ADIPATE CLEARAM CH 40,"3,569.00",199231.00
28-Dec,IGROS MARKETING CORPORATION,DGL INTERNATIONAL MALAYSIA SDN,PL GERMANY V. 067E,COAU7121380950,MY,16848.00,ACRATEX 965 ACRALITE COL. WHITE (PAINT),"17,434.96",984717.00
7-Dec,CHOEI PLASTIC WORLD PHILIPPINES INC,PLASTIC WORLD (CHINA) LTD,TRF KAYA 18004S,2.11E+11,HK,45.00,ADDITIVES,"4,780.21",285726.00
6-Dec,GILVAN PACKAGING CORPORATION,MORCHEM S.A ON BEHALF OF,YANTIAN EXPRESS,BCN11002029,ES,16000.00,ADHESIVE,"16,540.80",924855.00
4-Dec,DEZIGN WORKS PHILIPPINES INC,MILLIKEN HOLDINGS (HONGKONG)CO.LIMI,G. ACE 1820S,I236051565,CN,388.00,ADHESIVE,"4,419.18",249442.00
14-Dec,HENKEL PHILIPPINES INC.,BENORE LOGISTICS FOR HENKEL US,APL COLUMBUS 308W,HOU028813,US,1331.00,ADHESIVE (TECHNOMELT DM 519A BLUE),"12,558.64",703992.00
12-Dec,SANKYOTATEYAMA PHILIPPINES INC,"SANKYO TATEYAMA,INC.",NASIA 180S,ONEYNG8BC2516500,JP,246.00,"ADHESIVE 3000RX, BOTH SIDES ADHESIVE TAPE 50","3,862.96",213809.00
21-Dec,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,XIN QIN HUANG DAO V. 48E,GALSE181203001,SG,126.00,ADHESIVE ARALDITE 2022 PART A,"18,883.72",1051013.00
21-Dec,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,XIN QIN HUANG DAO V. 48E,GALSE181203001,SG,158.00,ADHESIVE ARALDITE 2022 PART B,"23,604.67",1312968.00
10-Dec,TDK PHILIPPINES CORPORATION,"TDK HONGKONG CO., LTD.",TRF KAYA 18004S,5.20E+11,HK,78.00,ADHESIVE DISPENSER AND ETC.,"8,331.15",460690.00
13-Dec,JT INTERNATIONAL ASIA MFG. CORP.,H.B. FULLER ADHESIVES MALAYSIA SDB,BUXMELODY 1687 104N,PKGMNL18110003,MY,5450.00,"ADHESIVE DURABOND HM3346, PC8888-CONT","11,820.27",660068.00
14-Dec,SAN TECHNOLOGY INCORPORATED,CORAL SERVICE CORP.,NASIA 180S,UKBMNL18115412,JP,1982.00,ADHESIVE POWDER,"33,638.87",1823811.00
4-Dec,ADAMPAK & PRINT (PHILS.) INC.,AVERY DENNISON SINGAPORE,CMA CGM VERDI V.0IL0SE1PL,SEMNL5009142,SG,904.00,ADHESIVE TAPES TAPES-NON WOVEN LAMINATING MO,"6,586.81",367966.00
27-Dec,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,NYK SILVIA 0505S,ONEYSM8BB3666400,JP,644.00,"ADHESIVE, ARONALPHA, CORETEX, E-TEC, ETC","14,529.51",811398.00
11-Dec,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,NASIA 180S,ONEYSM8BB3501600,JP,613.00,"ADHESIVE, CORETEX, E-TEC","12,747.03",706185.00
19-Dec,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,IRENES RESPECT 0007S,ONEYSM8BB3909400,TH,492.00,"ADHESIVE, CORETEX, E-TEC","10,258.98",572182.00
19-Dec,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,IRENES RESPECT 0007S,ONEYSM8BB3909401,JP,568.00,"ADHESIVE, CORETEX, E-TEC","10,113.15",563271.00
11-Dec,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,TRF KAYA 18004S,PTMNS1812010,CN,19950.00,ADHESIVES 317NT,"52,016.25",2749119.00
28-Dec,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,URU BHUM 18004S,PTMNN1812012,CN,6000.00,ADHESIVES A362,"17,338.07",927539.00
28-Dec,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,URU BHUM 18004S,PTMNN1812012,CN,2000.00,ADHESIVES A700W,"7,504.54",402564.00
6-Dec,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,CAPE MAHON 18012S,PTMNN1811023,CN,1500.00,ADHESIVES A700W,"5,649.80",299723.00
11-Dec,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,TRF KAYA 18004S,PTMNS1812010,CN,19950.00,ADHESIVES NP 71KN,"40,194.37",2125321.00
6-Dec,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,CAPE MAHON 18012S,PTMNN1811023,CN,10500.00,ADHESIVES NP 71KN,"21,251.68",1123272.00
28-Dec,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,URU BHUM 18004S,PTMNN1812012,CN,2550.00,ADHESIVES NP 71KN,"5,141.58",276431.00
6-Dec,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,CAPE MAHON 18012S,PTMNN1811022,CN,19950.00,ADHESIVES P049,"40,809.96",2270289.00
21-Dec,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,XIN QIN HUANG DAO V. 48E,GALSE181203001,SG,241.00,ADHESIVEíË - HUNTSMAN 2014-1,"36,084.74",2005456.00
21-Dec,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,XIN QIN HUANG DAO V. 48E,GALSE181203001,SG,1059.00,ADHESIVEíË - HUNTSMAN 2014-2,"19,603.55",1091136.00
5-Dec,H B FULLER PHILS INC,H. B. FULLER (CHINA) ADHESIVES LTD.,NAVIOS AMARILLO 024S,APLU051919226,CN,8000.00,ADVANTRA 8621 (HOT MELT ADHESIVES),"21,655.51",1146583.00
5-Dec,H B FULLER PHILS INC,H. B. FULLER (CHINA) ADHESIVES LTD.,NAVIOS AMARILLO 024S,APLU051919226,CN,8000.00,ADVANTRA PHC 9256 (HOT MELT ADHESIVES),"27,694.89",1465016.00
14-Dec,KINTETSU LOGISTICS (PHILS) INC.,SHIRAISHI CALCIUM (THAILAND) CO LTD,SITC LIAONING 1839N,SITDLCMN147608,TH,1600.00,AKTIPLAST T,"7,691.24",429420.00
18-Dec,ALLTECH BIOTECHNOLOGY CORP.,ALLTECH BIOTECHNOLOGY CORP LTD,CORDELIA 0856 009E,EGLV050801122224,TH,6000.00,ALLZYME SSF E,"49,136.97",2686802.00
6-Dec,ALLTECH BIOTECHNOLOGY CORP.,ALLTECH BIOTECHNOLOGY CORP LTD,LISBON 835S,DMCQBKKH018859,TH,4000.00,ALLZYME SSF E,"33,022.73",1794472.00
11-Dec,ALLTECH BIOTECHNOLOGY CORP.,"CUSTOM FREIGHT SALES, INC.",EVER LISSOME 027W,CVGMNN8912155D,US,3000.00,ALLZYME VEGPRO ALLZYME FD,"20,138.24",1099066.00
10-Dec,HENKEL PHILIPPINES INC.,HENKEL (MALAYSIA) SDN BHD,EVER BONNY 1685-0085N,1.81E+11,MY,1890.00,AQUENCE KL 242-3051 210KG,"3,833.56",207565.00
13-Dec,GLOSCORE PHILIPPINES CONSTRUCTION,ARDEX SINGAPORE PTE LTD,KOTA JUTA V0340E,SGMNL1802852,SG,1875.00,ARDEX R2SE,"10,334.00",577810.00
14-Dec,MAXION BIOSCIENCE INC.,DANISCO SINGAPORE PTE LTD,MP THE BROWN,MCB620759,SG,1000.00,AXTRA PHY 10000 TPT ( FEED PREMIX POWDER ENZ,"15,299.97",833265.00
14-Dec,MAXION BIOSCIENCE INC.,DANISCO SINGAPORE PTE LTD,MP THE LAW,MCB637343,SG,500.00,AXTRA PHY 10000 TPT FEED PREMIX POWDER ENZYM,"7,648.68",418028.00
19-Dec,FOOD INDUSTRIES INC.,INGREDION INC.,MOL PARTNER V 108W,6.32E+13,US,18371.00,BAKA-SNAK,"34,652.02",1904018.00
6-Dec,UNIVERSAL ROBINA CORPORATION,SCIENCE TECHNICS SDN BHD,MP THE BROWN 847W,4.51E+13,MY,350.00,BAKE PLUS T,"4,945.96",266226.00
14-Dec,INGREDION PHILIPPINES INC.,INGREDION INC. 5 WESTBROOK,YM MODERATION 042W,6.32E+13,US,18371.00,BATTERBIND S (TRUETRACE IP),"17,471.42",963644.00
14-Dec,INGREDION PHILIPPINES INC.,INGREDION INC. 5 WESTBROOK,ALEXANDRA 830W,6.32E+13,US,18371.00,BATTERBIND S (TRUETRACE IP),"17,471.42",963644.00
17-Dec,NESTLE PHILIPPINES INC.,NESTLE USA INC,IRENES RESPECT 0007,ONEYRICUT9012800,US,2179.00,BENEPROTEIN 6X8OZ N1 XI,"36,242.38",1947877.00
6-Dec,M2 ADVANCE TECH. INC.,DE NEEF CONSTRUCTION CHEMICALS,MAERSK HERRERA,HDMUAWML0910589,BE,9990.00,BENTORUB 20X25MMX30MM WATER PROOFING MATERIA,"12,180.20",683136.00
27-Dec,GREYHOUND INDUSTRIAL SALES,INTERNATIONAL COMPANY FOR,CALICANTO BRIDGE 269N,COSU4514176230,EG,18193.00,BITUPROOF APP WATERPROOFING MEMBRANE 4MM PES,"6,427.06",364611.00
6-Dec,STT PHILIPPINES INC,"ELKEM SILICONES SHANGHAI CO.,",G ACE 1820S,SITGSHMNL02239,CN,12000.00,"BLUESIL TCS 7525AR, BLUESIL TCS 7525 B","120,960.00",6689343.00
18-Dec,STT PHILIPPINES INC,"ELKEM SILICONES SHANGHAI CO.,",SITC DAVAO 1830S,SITGSHMNL02243,CN,12000.00,BLUESIL TCS 7525AR/B,"120,960.00",6730161.00
17-Dec,INTERNATIONAL WIRING SYSTEMS PHILS,SIIX CORPORATION,IRENES RESPECT 0007S,ONEYNG8BC1661500,JP,196.00,BOND,"4,181.98",236149.00
12-Dec,INTERNATIONAL WIRING SYSTEMS PHILS,SIIX CORPORATION,NASIA 180S,ONEYNG8BC1243800,JP,159.00,BOND,"3,680.18",205287.00
27-Dec,INTERNATIONAL WIRING SYSTEMS PHILS,SIIX CORPORATION,NYK SILVIA 0505S,ONEYNG8BC1244900,JP,154.00,BOND,"3,315.04",189538.00
11-Dec,INTERNATIONAL WIRING SYSTEMS PHILS,SIIX CORPORATION,NASIA 180S,ONEYNG8BC1242700,JP,148.00,BOND,"3,159.64",177602.00
12-Dec,PIONEER ADHESIVES INC.,FOSROC CONSTRUCTION CHEMICALS,CMA CGM VERDI V. 0IL0SE1PL,FPKJE18110095,MY,5000.00,BRUSHBOND TGP,"3,588.26",192601.00
5-Dec,CARGILL TEXTURIZING SOLUTIONS,CARGILL DEUTSCHLAND GMBH,SINGAPORE V. 0151S,OOLU2103897970,BE,29650.00,C HIFORM 12748 COLD SWEL HYDROX DSTARCH PHOS,"76,793.50",4187102.00
12-Dec,HAMBURG TRADING CORPORATION,CARGILL BIO CHEMICAL CO LTD,ARGOS V.1NC,XDFF302580,CN,18750.00,C STABITEX 05311 DISTARCH PHOSPHATE,"13,942.88",743992.00
12-Dec,HAMBURG TRADING CORPORATION,CARGILL DEUTSCHLAND GMBH,TR PORTHOS V.1801,578326848,NL,17000.00,C TEX 06205 ACETYLATED DISTARCH ADIPATE,"15,027.30",824907.00
28-Dec,CARGILL TEXTURIZING SOLUTIONS,CARGILL DEUTSCHLAND GMBH,CALICANTO BRIDGE V. 269N,VLSANR000085822,BE,1000.00,C*ARASET 75701 HYDROXYPROPYL STARCH,"4,951.57",277480.00
27-Dec,FORGEMS MARKETING CO. INC.,GRAIN PROCESSING CORPORATION,OOCL GENEO V.028W,GLR50881001,US,36740.00,C12F ACID MODIFIED CORN STARCH,"19,406.36",1087773.00
6-Dec,FORGEMS MARKETING CO. INC.,GRAIN PROCESSING CORPORATION,XIN SHANGHAI V.107S,GLR50448401,US,18370.00,C12F ACID MODIFIED CORN STARCH,"9,620.56",537914.00
28-Dec,FORGEMS MARKETING CO. INC.,GRAIN PROCESSING CORPORATION,OOCL MIAMI V.050W,GLR51008801,US,18370.00,C12F ACID MODIFIED CORN STARCH PLAIN BROWN 5,"9,703.18",546794.00
5-Dec,ALASKA MILK CORPORATION,WESTLAND CO-OPERATIVE DAIRY,MAERSK VIRGINIA V.885N,606112426,NZ,75600.00,CASEIN ACID 30/60 MESH,"475,955.35",25068624.00
27-Dec,SANTIENZ PHILS. INC.,CREATIVE ANALYSIS SDN BHD,XIN QIN HUANG DAO V.048E,SNKO160181200037,MY,40231.00,"CCRETE SL (PART C) IN 560 BAGS X 50KG, CCRET","10,068.28",571325.00
21-Dec,TS TECH TRIM PHILS. INC.,ITOCHU PLASTICS INC.,IRENES RESPECT 0007S,YOKMNL181110021,JP,1620.00,CEMEDINE ADHESIVE,"17,213.21",962819.00
19-Dec,HOUSE TECHNOLOGY INDUSTRIES PTE.LTD,HRD SINGAPORE PTE LTD,IRENES RESPECT 0007S,ONEYSM8BB3974600,JP,24660.00,CEMEDINE TILE EPOXY 50KG/SET,"132,352.22",7372597.00
18-Dec,IMCD PHILIPPINES CORPORATION,KMC KARTOFFELMELCENTRALEN AMBA,THALASSA PATRIS V.0999-024E,EGLV504800013870,DK,24750.00,CHEESEMAKER HIGHMELT (MODIFIED POTATO STARCH,"35,887.50",1972826.00
4-Dec,BRENNTAG INGREDIENTS INC.,ROQUETTE ITALIA SPA,COSCO SHIPPING V 002E,APLU709091751,IT,19000.00,CLEARAM CH 20 20,"20,698.56",1132395.00
4-Dec,BRENNTAG INGREDIENTS INC.,ROQUETTE ITALIA SPA,COSCO SHIPPING V 002E,APLU709091750,IT,19000.00,CLEARAM CH 20 20,"20,698.56",1132395.00
27-Dec,BRENNTAG INGREDIENTS INC.,ROQUETTE ITALIA SPA,CMA CGM MUSCA,AZT0100831,IT,19000.00,CLEARAM CH 40 20,"24,342.96",1346108.00
11-Dec,KINTETSU LOGISTICS (PHILS) INC.,SHIRAISHI CALCIUM (SHANGHAI) INTERN,G. ACE 1820S,SNL8SHPL0300007,CN,10800.00,COLOR PASTE,"33,094.28",1838814.00
14-Dec,RICHMOND WATERPROOFING INC,XYPEX CHEMICAL CORP,KYOTO EXPRESS,YVRMNLI00157,CA,16828.00,CONCRETE WATERPROOFING PRODUCTS,"19,684.15",1106520.00
10-Dec,CHAROEN POKPHAND FOODS PHILS. CORP.,DANISCO SINGAPORE PTE. LTD.,NAVIOS TEMPO,MCB605351,FI,3000.00,DANISCO ANIMAL NUTIRITION LIQUID SUBTILISIN,"30,841.19",1674758.00
10-Dec,CHAROEN POKPHAND FOODS PHILS. CORP.,DANISCO SINGAPORE PTE. LTD.,NAVIOS TEMPO,MCB605351,BE,3000.00,DANISCO ANIMAL NUTRITION LIQUID ALPHA-AMYLAS,"20,744.37",1127819.00
10-Dec,CHAROEN POKPHAND FOODS PHILS. CORP.,DANISCO SINGAPORE PTE. LTD.,NAVIOS TEMPO,MCB605351,FI,3000.00,DANISCO XYLANASE 40000 L,"54,951.16",2980789.00
27-Dec,GCP APPLIED TECHNOLOGIES,HENKEL TECHNOLOGY CORPORATION,ONE STORK 002W,HOU030152,US,9960.00,DAREX WBC 4208-66-4,"19,774.44",1112336.00
5-Dec,GCP APPLIED TECHNOLOGIES,HENKEL (THAILAND) LIMITED,SITC SHANGHAI 1831N,ONEYBKKUE4124900,TH,12000.00,DAREX WBC733 CON,"24,480.00",1290714.00
