DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
7-Feb,ACASTILLO ENTERPRISES,MAC INTERNATIONAL DEVELOPMENT LTD.,HYUNDAI GLORY 091S,SHAB053749,CN,125933.00,"6X40 SCHOOL SUPPLIES (WHITE GLUE, GLUE STICK","98,084.19",5371123.00
6-Feb,UNITED PULP AND PAPER CO INC,NATIONAL STARCH AND CHEMICAL THAILA,SITC BANGKOK 1801N,KKLUTH0861224,TH,126000.00,7X20 MODIFIED  STARCH,"100,850.20",5231428.00
28-Feb,CENTURY PACIFIC FOOD INC.,GENERAL STARCH LIMITED,ITAL MILLIONE,EGLV050800071928,TH,20000.00,800 BAGS MODIFIED TAPIOCA STAR,"16,473.20",872553.00
7-Feb,MEKENI FOOD CORPORATION,"BDF NATURAL INGREDIENTS, SL",MANCHESTER BRIDGE,270401,ES,3000.00,ADDITIVES (PROBIND GT 5.0),"71,134.98",3778957.00
27-Feb,YOSHITA CORPORATION,SHT CORPORATION LIMITED,CAPE NABIL 033S,MOLU12024225236,JP,1085.00,ADHESIVE,"5,317.44",292904.00
15-Feb,INLAND WAREHOUSING & LOGISTICS DIV.,THREE BOND SINGAPORE PTE LTD,SINO BRIDGE 002E,X1800489MNL003,SG,1128.00,ADHESIVE,"5,241.81",290633.00
15-Feb,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,SINO BRIDGE 002E,GALSE180201501,SG,212.00,ADHESIVE - HUNTSMAN 2014-1,"15,830.32",859924.00
15-Feb,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,SINO BRIDGE 002E,GALSE180201501,SG,115.00,ADHESIVE - HUNTSMAN 2014-2,"8,589.57",467979.00
15-Feb,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,SINO BRIDGE 002E,GALSE180201501,SG,437.00,ADHESIVE ARALDITE 2022 PART A,"32,629.84",1769290.00
15-Feb,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,SINO BRIDGE 002E,GALSE180201501,SG,437.00,ADHESIVE ARALDITE 2022 PART B,"32,629.84",1769290.00
14-Feb,JT INTERNATIONAL ASIA MFG. CORP.,H.B. FULLER ADHESIVES MALAYSIA SDN,SINO BRIDGE 002E,COAU7120796090,MY,5575.00,ADHESIVE DURABOND-CONTROLLED,"17,883.15",979980.00
22-Feb,MAHLE FILTER SYSTEMS PHILS. CORP.,MAHLE FILTER SYSTEMS JAPAN CORP GLO,REFLECTION 1804S,33255,JP,12500.00,ADHESIVE OF 418P-3,"29,470.01",1613966.00
2-Feb,SAN TECHNOLOGY INCORPORATED,CORAL SERVICE CORP.,CAPE NABIL 032S,UKBMNL8014812,JP,450.00,ADHESIVE POWDER,"9,382.28",495334.00
14-Feb,TRANS WORLD TRADING COMPANY,TOYO-MORTON LTD.,NORTHERN VALENCE V1644-045N,EGLV091830040556,MY,15236.00,ADHESIVE TM-585-60M-DM-PH/TM-570-PH,"56,483.00",2930384.00
28-Feb,FLEXIBLE PACKAGING PRODUCTS CORP.,TOYO-MORTON LTD,PHILIP SCHULTE V.087XAS,SNKO24H180100007,JP,32000.00,ADHESIVE TOMORESTER,"102,465.60",5434555.00
2-Feb,FLEXIBLE PACKAGING PRODUCTS CORP.,TOYO-MORTON LTD,HYUNDAI GLORY 091S,SNKO24H171200030,JP,32000.00,ADHESIVE TOMORESTER 45S,"102,465.60",5307465.00
15-Feb,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,IWASHIRO 251S,NYKSSM7AA7204500,JP,1665.00,"ADHESIVE, E-TEC","36,790.12",1996620.00
21-Feb,H B FULLER PHILS INC,H. B. FULLER (CHINA) ADHESIVES LTD.,SUI FU HANG 68 8062,MCB148525,CN,4800.00,ADVANTRA PHC 9256 (HOT MELT ADHESIVES),"18,340.86",956846.00
6-Feb,ALLTECH BIOTECHNOLOGY CORP,"CUSTOM FREIGHT SALES, INC.",EVER LIVING 022W,CVGMNN7911054D,US,2000.00,ALLZYME VEGPRO,"11,722.88",628045.00
6-Feb,PHILIPPINE FOREMOST MILLING,MUEHLENCHEMIE GMBH & CO. KG,CHICAGO EXPRESS,MNL215612,DE,1575.00,"ALPHAMALT HCTE, ALPHAMALT VS 5000 & ALPHAMAL","11,372.44",604177.00
7-Feb,BATAAN 2020 INC.,AMAZON PAPYRUS CHEMICALS LIMITED,NYK JOANA V.062N,MNLSE1801021301,SG,5475.00,AMICOAT TC 6218 & TR 6112,"22,698.93",1232849.00
14-Feb,UNI FIELD ENTERPRISES INCORPORATED,ANCHOR ALLIED FACTORY LTD,EVER DIVINE,EGLV300700087531,AE,10275.00,ASMACU PU 90 POLYURETHANE JOINT SEALANT WHIT,"34,811.59",1897366.00
23-Feb,FOOD INDUSTRIES INC.,INGREDION INC.,HYUNDAI BANGKOK 075W,HDMUIPML3465849,US,18387.00,BAKA-SNAK DEXTRINS & OTHER MODIFIED STARCHES,"34,652.02",1870856.00
2-Feb,TRANS-MILLENNIUM MERCANTILE CORPORA,CEREAL TECH PTE LTD.,CALICANTO BRIDGE,18E28479,SG,1500.00,BAKERY INGREDIENTS; CT REVERTASE 6CTNS. X25K,"6,109.49",318067.00
2-Feb,JULRICK MARKETING,FLOWCRETE ASIA SDN. BHD.,CMA CGM VERDI V.247E,EIH1810491Z,MY,14480.00,BASE A + HARDENER B + FILLER C PER PACK ...,"32,263.16",1669703.00
27-Feb,STT PHILIPPINES INC,"ELKEM SILICONES SHANGHAI CO.,",HAI LIAN 1804S,SITGSHMNL02178,CN,12000.00,"BLUESIL TCS 7525AR, BLUESIL TCS 7525 B","119,884.80",6593427.00
20-Feb,CJ PHILIPPINES INC,BEIJING SMILE FEED SCI. & TECH,SITC DAVAO V. 1802S,EURFL18106825,CN,3000.00,CJP SMIZYME PT,"6,450.00",341527.00
6-Feb,BRENNTAG INGREDIENTS INC.,ROQUETTE ITALIA SPA,CMA CGM MUSCA 256MEE,OOLU4044833350,IT,19000.00,CLEARAM CH  20 20,"20,703.33",1108842.00
7-Feb,NUTRI-ASIA INC.,ROQUETTE ITALIA SPA,CMA CGM MUSCA V.256MEE,OOLU4044833310,IT,19000.00,CLEARAM CH 20 20 (MODIFIED STARCH ),"16,452.81",884206.00
15-Feb,NUTRI-ASIA INC.,ROQUETTE ITALIA SPA,CMA CGM VELA V.258MEE,OOLU4044879980,NL,19000.00,CLEARAM CH 20 20 (MODIFIED STARCH ),"16,452.81",886399.00
26-Feb,NUTRI-ASIA INC.,ROQUETTE ITALIA SPA,COSCO HOPE 029E,OOLU4044975070,IT,19000.00,CLEARAM CH 20 20 (MODIFIED STARCH ),"16,452.46",897981.00
27-Feb,NUTRI-ASIA INC.,ROQUETTE ITALIA SPA,COSCO FORTUNE 038E,OOLU4044974760,IT,19000.00,CLEARAM CH 20 20 (MODIFIED STARCH ),"16,452.46",897981.00
7-Feb,INGREDION PHILIPPINES INC.,INGREDION INC,HYUNDAI SINGAPORE V095W,HDMUIPWB3462356,US,18371.00,CLEARJEL S DEXTRINS/NATIONAL 912 DEXTRINS/NA,"17,728.70",956444.00
2-Feb,KINTETSU LOGISTICS(PHILIPPINES)INC.,SHIRAISHI CALCIUM (SHANGHAI) INTERN,ISAO 1801S,SNL8SHPL0300001,CN,10800.00,COLOR PASTE NBT-1937 BLACK,"34,307.68",1850510.00
14-Feb,KINPO ELECTRONICS (PHILIPPINES) INC,ATOM CELS SINGAPORE PTE LTD,CALICANTO BRIDGE V 248N,84361,SG,150.00,CONFORMAL COATING,"9,823.70",535577.00
8-Feb,TRANS-MILLENNIUM MERCANTILE CORPORA,CEREALTECH PTE LTD,LOBIVIA,SINMNL1829368,SG,3219.00,CT TINAPASE/CT REVERTASE,"8,222.91",426162.00
26-Feb,GCP APPLIED TECHNOLOGIES,HENKEL (THAILAND) LTD.,MOL HOPE 0040E,MOLU13807477747,TH,6040.00,DAREX OP649DE-40,"6,258.80",348599.00
15-Feb,SHRIKE INTERNATIONAL TRADING,SHENZHEN DEFOO PACKING,CIRCULAR QUAY,APLU750656450,CN,4420.00,DOUBLE SIDE TAPE,"6,205.77",341341.00
14-Feb,H B FULLER PHILS INC,H.B FULLER ADHESIVE MALASYIA SDN BH,SINO BRIDGE V.002E,COAU7120796580,MY,11600.00,"DURABOND HM 1368, DURABOND HM 3348B","27,785.34",1444982.00
8-Feb,TOTAL COLOURS CORPORATION,COLOSPERSE DYES &,WAN HAI 505 E116,EGLV100750309535,IN,3000.00,ECOMER DMT-45,"6,600.00",347426.00
8-Feb,EDWARD KELLER (PHILS.) INC.,PB LEINER ARGENTINA SA,CMA CGM CONGO V012E,BUEMNO0004171001,AR,20000.00,EDIBLE BEEF GELATIN 240 BLOOM 40 MESH,"124,371.84",6610073.00
21-Feb,EDWARD KELLER (PHILS.) INC.,PB LEINER ARGENTINA SA,SEAMAX ROWAYTON V0005E,BUEMNO0008171201,AR,20000.00,EDIBLE BEEF GELATIN 240 BLOOM 40 MESH,"124,156.42",6615165.00
15-Feb,ALTERNATIVES FOOD CORP,"QINGDAO LANKANG INTERNATIONAL CO.,",NAVIOS SUMMER,AAJY008433,TR,100000.00,EMPRO 90 ISOLATED SOY PROTEIN (EMULSION GRA,"104,800.00",5521148.00
23-Feb,ALTERNATIVES FOOD CORP,"QINGDAO LANKANG INTERNATIONAL CO.,",PHILIPPA SCHULTE,AAJY008487,TR,75000.00,EMPRO 90 ISOLATED SOY PROTEIN (EMULSION GRA,"78,600.00",4196795.00
