DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
9-Mar,PAREXGROUP INC.,EMFI SAS,SCIO SKY V. 1805,AME65ME884079,BE,10534.00,ADHESIVES (LANKO 603 PH GREY),"36,570.87",2007159.00
9-Mar,H.B FULLER (PHILIPPINES) INC.,H.B FULLER (CHINA) ADHESIVES LTD,BO YUN V.178,0248A05585,CN,6660.00,ADVANTRA 8621,"22,809.13",1192371.00
27-Mar,LAMON BAY FURNITURE CORP,"AICA KOGYO CO., LTD.",CALLAO BRIDGE V. 126S,KBMN18033104,JP,2500.00,AICA AIBON ADHESIVE,"6,411.14",357262.00
14-Mar,1986 CONSTRUCTION SUPPLY,SHENZHEN GUI HAO CHENG TRADE C,MAGNAVIA,42988,CN,1570.00,AIRCON MATERIALS INSULATION BOARD,"6,565.25",347707.00
2-Mar,ALLTECH BIOTECHNOLOGY CORP,"CUSTOM FREIGHT SALES, INC.",EVER LISSOME 023W,CVGMNN7911092D,US,2000.00,ALLZYME FD,"16,184.92",879297.00
5-Mar,ALLTECH BIOTECHNOLOGY CORP,ALLTECH BIOTECHNOLOGY CORP LTD,ITAL MILLIONE 0813 091W,EGLV050800043746,TH,1500.00,ALLZYME SSF E,"12,134.91",656359.00
9-Mar,ALLTECH BIOTECHNOLOGY CORP,"CUSTOM FREIGHT SALES, INC.",EVER LOGIC 029,CVGMNN8911139D,US,2000.00,ALLZYME VEGPRO,"11,680.84",634685.00
20-Mar,PHILIPPINE FOREMOST MILLING,MUEHLENCHEMIE GMBH AND CO KG,CMA CGM LAPEROUSE 088FME,HBG1223185,DE,2275.00,ALPHAMALT ROX HCTE VC5000,"19,839.05",1068401.00
2-Mar,PURATOS PHILIPPINES INC.,PURATOS NV,THALASSA TYHI 0962 018E,OOLU4026449670,BE,835.00,"AMYLASE FONGIQUE,PREMIX SOFTR SWEET,PREMIX X","18,974.02",1020606.00
27-Mar,VET SPECIALISTS INC,ALIVIRA ANIMAL HEALTH LIMITED,OOCL NINGBO V132E,3640,IN,5750.00,ANIMAL HEALTH PRODUCTS,"17,302.40",941244.00
21-Mar,KRAYDEN ASIA INC.,HUNTSMAN ADVANCED MATERIALS,THALASSA DOXA 018E,B1800570,BE,3037.00,ARALDITE,"20,994.96",1155280.00
27-Mar,TRANS-MILLENNIUM MERCANTILE CORPORA,CEREAL TECH PTE LTD.,CALICANTO BRIDGE,KMSMNL18EMA004,SG,5472.00,BAKERY INGREDIENTS CT TINAPASE,"12,141.67",638685.00
21-Mar,PHILIPPINE INDUSTRIAL SEALANTS &,THE DOW CHEMICAL COMPANY,KYAUK PHYU STAR 001S,KKLUUS0580953,US,13793.00,BETASEAL (TM) U-818 URETHANE SEALANT,"80,412.89",4410387.00
12-Mar,STT PHILIPPINES INC,"ELKEM SILICONES SHANGHAI CO.,",ISAO V.1804S,SNL8SHPL3100238,CN,12000.00,BLUESIL TCS 7525 AR/B (RAW MATERIALS),"109,480.80",5987110.00
21-Mar,STT PHILIPPINES INC,"ELKEM SILICONES SHANGHAI CO.,",HAI LIAN V.1806S,SITGSHMNL02181,CN,12000.00,BLUESIL TCS 7525 AR/B (RAW MATERIALS),"109,432.94",5997381.00
15-Mar,HENKEL PHILIPPINES INC.,HENKEL CHEMICAL TECHNOLOGIES,TORRES STRAIT VOY 1807,SHA100459,CN,3987.00,BONDERITE L-AD 900B 180KG EXPORT,"13,341.49",733926.00
9-Mar,SANKYOTATEYAMA PHILIPPINES INC,"SANKYO TATEYAMA, INC.",IWASHIRO 252S,81740,JP,319.00,"BOTH SIDES ADHESIVE TAPE, AIR TIGHT WB7739 V","5,176.38",284420.00
13-Mar,CARGILL TEXTURIZING SOLUTIONS,CARGILL DEUTSCHLAND GMBH,CALICANTO BRIDGE V. 250N,MOLU28014575286,BE,14825.00,C HIFORM 12748 COLD SWEL HYDROX DSTARCH PHOS,"39,582.75",2135934.00
9-Mar,HAMBURG TRADING CORPORATION,CARGILL INCORPORATED,IWASHIRO V.252S,NYKSCHIU02585500,US,32500.00,C TEX 06205 MODIFIED STARCH,"28,728.69",1556572.00
23-Mar,CARGILL TEXTURIZING SOLUTIONS,"CARGILL BIO-CHEMICAL CO., LTD",TRF PRAIA V. 280,XDFF301923,CN,19875.00,C*STABITEX 05311,"13,224.83",700809.00
23-Mar,FORGEMS MARKETING CO. INC.,GRAIN PROCESSING CORPORATION,EVER ETHIC V.1022W,MALY00596829,US,47628.00,C12F ACID MODIFIED CORN STARCH,"24,110.29",1314867.00
26-Mar,CARGILL TEXTURIZING SOLUTIONS,CARGILL INCORPORATED,KYAUK PHYU STAR V. 001N,KKLUUS0579598,US,19278.00,CARGILL TEX 062311 MOD FOOD STARCH,"17,735.28",969431.00
31-Mar,WU KONG SINGAPORE PTE. LTD. PHIL.,NEDEX CHEMIE DEUTSCHLAND GMBH,CALICANTO BRIDGE 251N,KKLUHAM492552,NL,15936.00,CHEMICAL HARMLESS,"56,058.68",3171705.00
1-Mar,HITACHI CABLE PHILIPPINES INC.,HITACHI TRANSPORT SYSTEM EAST,CALLAO BRIDGE 125S,YOKACC05581,JP,291.00,"CHEMLOK, CHEMLOK 6108","13,389.41",736943.00
