DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
5-Sep,FIL-ASIA FOOD INGREDIENTS INC.,SONAC FUNCTIONAL PRODUCTS B.V,HYUNDAI FORWARD V.087E,HDMURTML0984700,NL,8802.00,"9 PALLETS GP83P 18 MESH, 1 PLT GEL 5 P 100 M","15,115.73",844519.00
7-Sep,ACASTILLO ENTERPRISES,AMERSEAL INDUSTRIAL SDN BHD,EVER BRAVE 0844,EGLV095800099938,MY,11827.00,925 CTNS. HARDEX HI-TEMP GREY RTV GASKET MAK,"10,219.26",582932.00
10-Sep,SCAD SERVICES (S) PTE. LTD. - PHIL,ROMA PLASTIK,CMA CGM URAL V.0BX12E1MA,18AMBPKL015568,TR,444.00,ABS TAPE WHITE,"3,254.22",194146.00
14-Sep,MAHLE FILTER SYSTEMS PHILS. CORP.,MAHLE FILTER SYSTEMS JAPAN CORPORAT,IRENES RESPECT 0003S,43291,JP,12500.00,ADHESIVE,"26,487.00",1511181.00
11-Sep,LIGHTRON ENTERPRISES,SHENZHEN WEIPENG IMP & EXP,URU BHUM 0400-045S,EGLV147800476789,CN,2550.00,ADHESIVE,"3,011.46",173634.00
7-Sep,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,LOBIVIA 074E,GALSE180808601,SG,550.00,ADHESIVE - HUNTSMAN 2014-1,"36,346.74",2040296.00
7-Sep,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,LOBIVIA 074E,GALSE180808601,SG,299.00,ADHESIVE - HUNTSMAN 2014-2,"19,745.87",1110098.00
6-Sep,HENKEL PHILIPPINES INC.,BENORE LOGISTICS FOR HENKEL US,OOCL MIAMI 47,HOU019439,US,1785.00,ADHESIVE (TECHNOMELT DM 519A BLUE),"14,361.10",812275.00
5-Sep,HENKEL PHILIPPINES INC.,BENORE LOGISTICS FOR HENKEL US,APL DANUBE 260 W,HOU019983,US,874.00,ADHESIVE (TECHNOMELT DM 519A BLUE),"7,467.44",424899.00
19-Sep,HENKEL PHILIPPINES INC.,HENKEL CHEMICAL TECHNOLOGIES,NEFELI VOY 0801,SHA374563,CN,14000.00,ADHESIVE (TECHNOMELT EASY-PAC 100 25KG),"43,762.78",2379787.00
7-Sep,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,LOBIVIA 074E,GALSE180808601,SG,528.00,ADHESIVE ARALDITE 2022 PART A,"34,871.53",1957636.00
