DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
22-Nov,THE PUREFOODS HORMEL COMPANY INC,"SMS CORPORATION CO.,LTD",KHUNA BHUM,BKKCB18016652,TH,72000.00,3X40 MODIFIED TAPIOCA STARCH KREATION 20CL,"53,691.58",2862541.00
23-Nov,INGREDION PHILIPPINES INC.,INGREDION INC. 5 WESTBROOK,YM MOVEMENT 040W,808023,US,18370.00,405 BAGS OF GEL N MELT MODIFIED STARCHES,"29,197.27",1598727.00
10-Nov,3M PHILS. INC.,3M COMPANY,OOCL MEMPHIS 043W,OOLU2610361762,US,460.00,4475 SW IND PLSTC ADH CLR/ EPOXY ADHESIVE TL,"7,221.85",405403.00
20-Nov,3M PHILS. INC.,3M THAILAND LIMITED,SCIO SKY 844N,BKKA07722,TH,1232.00,467MP 1270MM X 164 6M UNTRIM,"10,607.59",566871.00
6-Nov,PROCTER & GAMBLE PHILIPPINES INC.,NOVOZYMES CHINA BIOTECHNOLOGY CO LT,COSCO ROTTERDAM 135S,TSN32101346,CN,5000.00,5 PACKAGES STC MEDLEY BL 91667020 S 321 T,"34,431.10",1855295.00
20-Nov,PROCTER & GAMBLE PHILIPPINES INC.,NOVOZYMES CHINA BIOTECHNOLOGY CO LT,CONTI CHAMPION 105W,TSN32101346,CN,5000.00,5 PLTS STC MEDLEY BL 91667020 S 321 T,"34,739.81",1857533.00
15-Nov,PAREXGROUP INC.,EMFI,TITAN 0997-012E,EGLV540800175507,FR,22983.00,5720 POC600ML LANKO 603 PH GREY,"72,148.72",4048054.00
28-Nov,MC RITZ INTERNATIONAL CORPORATION,E H M INTERTRADING CO LTD,NORDPANTHER V. 0XS1YN,HDMUBKWB1015891,TH,100000.00,"5X20 4,000 BAGS MODIFIED TAPIOCA STARCH","44,069.94",2351893.00
21-Nov,JEBSEN & JESSEN INGREDIENTS (P),VEDAN (VIETNAM) ENTERPRISE CORP.,DELAWARE TRADER,I490346355,VN,108000.00,6 X 20 STC MODIFIED STARCH [ ACETYLATED DIST,"86,098.79",4621544.00
12-Nov,JEBSEN & JESSEN INGREDIENTS (P),VEDAN (VIETNAM) ENTERPRISE CORP. LT,ST ISLAND 017B,I490345877,VN,126000.00,7 X 20 STC: MODIFIED STARCH [ DISTARCH PHOSP,"85,072.54",4567809.00
