DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
19-Apr,TONG HSING ELECTRONICS PHILS. INC.,NISSHO CORPORATION,FX5158,2260,SG,55.00,SILICONE ADHESIVE,"9,431.40",521302.00
4-Apr,TONG HSING ELECTRONICS PHILS. INC.,TOPCHEM MATERIALS CORP,CX907,ELC9102780,TW,64.00,SILICONE ADHESIVE,"7,383.00",422358.00
17-Apr,KDTECHNOLOGIES INC.,DOW SILICONES CORPORATION CDW,BR271,DTW0092051,US,105.00,SILICONES,"5,269.36",293819.00
18-Apr,KDTECHNOLOGIES INC.,DOW SILICONES CORPORATION CDW,BR271,DTW0092050,US,105.00,SILICONES,"5,269.36",293819.00
12-Apr,AMERTRON INCORPORATED,SUMITOMO METAL MINING CO LTD.,PR431,TCS18420070,JP,121.00,SILVER/EPOXY PASTE T-3030,"18,424.59",1014536.00
12-Apr,TI (PHILIPPINES) INC.,M K ELECTRON CO LTD,5J187,21673,KR,401.00,SOLDER BALL,"19,520.00",1117104.00
19-Apr,TI (PHILIPPINES) INC.,M K ELECTRON CO LTD,5J187,27391,KR,401.00,SOLDER BALL,"19,520.00",1117542.00
4-Apr,TI (PHILIPPINES) INC.,M K ELECTRON CO LTD,5J187,15911,KR,399.00,SOLDER BALL,"19,520.00",1121698.00
20-Apr,INNOTOR PHILIPPINES INC.,OPTIS CO LTD,PR469,TCI221551,KR,96.00,SOLDER CREAM,"5,980.80",330137.00
24-Apr,AUTOMATED TECHNOLOGY (PHIL) INC.,HERAEUS ROMANIA SRL,KE623,BUH712442,RO,140.00,SOLDER PASTE,"13,700.01",741745.00
18-Apr,BRENNTAG INGREDIENTS INC.,SOLAE LLC,CX935,EWR00410826,US,1000.00,SUPRO 120 IP ISOLATED SOY PROTEIN,"14,113.69",748117.00
27-Apr,TRS PHILS CORPORATION,"TRS CO, LTD.",FX5158,11957,JP,121.00,SYLEX GLUE,"35,777.73",2010925.00
2-Apr,ATMAK CORPORATION,RIKI TRADERS CO. LTD,CI5841,KSA00411855,JP,271.00,TAKIBOND R1000 15KG,"8,419.50",464722.00
10-Apr,N.T. PHILIPPINES INC.,MULTEK FLEXIBLE CIRCUITS INC,DL7414,MSP0022028,US,627.00,TAPE 3M 9082 RELEASE LINER,"52,343.09",2863497.00
7-Apr,N.T. PHILIPPINES INC.,MULTEK FLEXIBLE CIRCUITS INC,DL7414,MSP0022026,US,369.00,TAPE 3M 9082 RELEASE LINER,"28,130.11",1540284.00
23-Apr,N.T. PHILIPPINES INC.,MULTEK FLEXIBLE CIRCUITS INC,DL7414,MSP0022618,US,245.00,TAPE 3M 9082 RELEASE LINER,"27,020.48",1482113.00
1-Apr,N.T. PHILIPPINES INC.,MULTEK FLEXIBLE CIRCUITS INC,DL7414,MSP0022021,US,319.00,TAPE 3M 9082 RELEASE LINER,"21,566.17",1184917.00
13-Apr,N.T. PHILIPPINES INC.,MULTEK FLEXIBLE CIRCUITS INC,DL7414,MSP0022030,US,111.00,TAPE 3M 9082 RELEASE LINER,"12,173.85",668858.00
