DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
11-May,UNAHCO INC.,ADISSEO ASIA PACIFIC PTE LTD,KOTA JUTA V 0327E,SEMNL180401312,SG,3000.00,6 PALLETS STC ROVABIO ADVANCE T FLEX,"143,899.38",7683918.00
23-May,MC RITZ INTERNATIONAL CORPORATION,"E H M INTERTRADING CO., LTD.",NORDCLAIRE 034N,GTD0402315,TH,120000.00,"6X20 4,800 BAGS MODIFIED TAPIOCA STARCH EHTE","66,320.03",3517072.00
28-May,JEBSEN & JESSEN INGREDIENTS (P),VEDAN (VIETNAM ) ENTERPRISE CORP LT,CALICANTO BRIDGE,SITSGMNG137565,VN,126000.00,7 X 20 STC MODIFIED STARCH (ACETYLATED DISTA,"95,160.76",5023201.00
25-May,UNITED PULP AND PAPER CO INC,NATIONAL STARCH AND CHEMICAL (THAIL,SITC SHANGHAI V1809N,ONEYBKKU31784900,TH,126000.00,7X20 MODIFIED STARCH,"100,850.37",5321508.00
24-May,CENTURY PACIFIC FOOD INC.,GENERAL STARCH LIMITED,SITC SHANGHAI,LCHCB18010895,TH,20000.00,880 BAGS MODIFIED TAPIOCA STAR,"16,473.20",866839.00
10-May,CTC FAR EAST PHILIPPINES INC,HILLMAR INGREDIENTS,HYUNDAI HONG KONG 107W,LAXMAN1813004,US,1920.00,96 BAGS OF HILMAR 8200 WHEY PROTEIN CONCENTR,"14,419.20",775628.00
10-May,EDWARD KELLER (PHILS.) INC.,CARGILL DEUTSCHLAND GMBH,NYK IBIS V010E,NYKSHAMU09025600,DE,18000.00,ACETYLATED DISTARCH ADIPATE,"23,316.33",1253851.00
3-May,YOSHITA CORPORATION,SHT CORPORATION LIMITED,IWASHIRO 254S,ONEYTY8AN6262900,JP,1783.00,ADHESIVE,"8,571.43",472188.00
29-May,SIMPLEX INDUSTRIAL CORPORATION,HALLITE SEALS AMERICAS INC.,HYUNDAI OAKLAND,HFICHO840022,US,689.00,ADHESIVE,"5,012.85",277701.00
10-May,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,KOTA JUTA V. 0328E,GALSE180500101,SG,211.00,ADHESIVE - HUNTSMAN 2014-1,"15,489.80",844466.00
10-May,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,KOTA JUTA V. 0328E,GALSE180500101,SG,115.00,ADHESIVE - HUNTSMAN 2014-2,"8,415.06",460139.00
11-May,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,ASIA IPSA S066,0228A45028,CN,9000.00,ADHESIVE 71KN,"15,348.96",801344.00
10-May,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,KOTA JUTA V. 0328E,GALSE180500101,SG,437.00,ADHESIVE ARALDITE 2022 PART A,"32,103.21",1746966.00
10-May,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,KOTA JUTA V. 0328E,GALSE180500101,SG,437.00,ADHESIVE ARALDITE 2022 PART B,"32,103.21",1746966.00
24-May,JT INTERNATIONAL ASIA MFG. CORP.,H.B. FULLER ADHESIVES MALAYSIA SDN,WAN HAI 105 N209,PKGSGL000501,MY,15325.00,ADHESIVE DURABOND-CONTROLLED,"30,794.06",1707250.00
7-May,JT INTERNATIONAL ASIA MFG. CORP.,H.B. FULLER ADHESIVES MALAYSIA SDN,WAN HAI 101 N115,PKGSGL000463,MY,7070.00,ADHESIVE DURABOND-CONTROLLED,"20,399.39",1120287.00
23-May,MAHLE FILTER SYSTEMS PHILS. CORP.,MAHLE FILTERS SYSTEMS JAPAN CORP/MA,OOCL JAKARTA 094S,732894,JP,20250.00,ADHESIVE OF 418P-3,"45,720.46",2529196.00
9-May,HOMEBASE TRADING & GEN MERCHANDISE,"YIWU JUZHAN IMPORT AND EXPORT CO.,",ISAO V. 1807S,SITGNBMN930467,CN,3700.00,ADHESIVE TAPE,"6,679.08",350210.00
30-May,FLEXIBLE PACKAGING PRODUCTS CORP.,TOYO-MORTON LTD,BAHAMIAN EXPRESS V.279S,CC4G38000300,JP,32000.00,ADHESIVE TOMORESTER 45S,"105,403.20",5543311.00
