DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
2-Aug,CENTURY PACIFIC FOOD PACKAGING,HENKEL (THAILAND) LIMITED,ESPERANZA N V-011E,BKK801406000,TH,8400.00,DAREX WBC7799TH,"24,360.00",1315998.00
30-Aug,TAIYO YUDEN (PHILIPPINES) INC.,KUSUMOTO CHEMICALS LTD.,LD457,285356,JP,20.00, ADHESIVE TAPE,"25,864.74",1457243.00
30-Aug,HIGH END FASHION JEWELRY PRODUCTION,UHU GMBH & CO KG,EK338,FBG23299444,DE,137.00,1.00 PK EPOXY QUICK SET BINDER,"5,793.23",331329.00
23-Aug,REMA TIP TOP (PHILIPPINES) INC.,TIP TOP OBERFLAECHENSCHUTZ ELBE GMB,EMIRATES,211500,DE,659.00,"CEMENT TC 5000,TIPTOP ADHESIVE TC 5002,PRIME","10,333.39",662657.00
15-Aug,SPARKO SURFACE COATING INC.,ALTECO INC.,CATHAY PACIFIC,MSA70132603,JP,90.00,CYANOACRYLATE ADHESIVES Z200M,"6,074.53",344168.00
10-Aug,CEBU MITSUMI INC.,SHIMA TRADING CO LTD,PHILIPPINE AIRLINES,477500,JP,314.00,EPOXY RESIN,"48,144.30",2684786.00
30-Aug,TMX PHILIPPINES INC.,MATERIAL TECHNOLOGY PTE LTD,CATHAY PACIFIC,SIN1644252,BE,154.00,LOCTITE ABLESTIK E 3503 1,"12,150.00",687640.00
27-Aug,FAIRCHILD SEMICONDUCTOR (PHILS) INC,ABLESTIK (SHANGHAI) LTD.,CATHAY PACIFIC AIRWAYS LTD,DIM042108122,CN,100.00,STC LOCTITE ABLESTIK QMI519 (EPOXY RESIN,"21,791.30",1229286.00
30-Aug,FAIRCHILD SEMICONDUCTOR (PHILS) INC,ABLESTIK (SHANGHAI) LTD,CATHAY PACIFIC AIRWAYS LTD,DIM042108375,CN,105.00,"STC LOCTITE ABLESTIK QMI519, QMI536NB","24,709.48",1392437.00
14-Aug,GNPOWER DINGININ LTD. CO.,GE POWER AG,ADAM ASNYK 41 ,CPJQAS41GDYBTN01,DE,1292.00,ADHESIVE 1,"22,666.17",1314287.00
29-Aug,MEGA SOFT HYGIENIC PRODUCTS INC.,"SHENZHEN GUI HAO CHENG TRADE CO.,LT",SITC TOKYO V1828S,SITGSHCYT01046,CN,37221.00,ADHESIVE H4394,"47,698.12",2563990.00
